Maker,Genmodel,item_id
Daihatsu,Yrv,daihatsu_yrv
Dodge,Avenger,dodge_avenger
Dodge,Caliber,dodge_caliber
Dodge,Journey,dodge_journey
Dodge,Nitro,dodge_nitro
Ferrari,360,ferrari_360
Ferrari,456,ferrari_456
Ferrari,458,ferrari_458
Ferrari,488,ferrari_488
Ferrari,550,ferrari_550
Ferrari,612,ferrari_612
Ferrari,812 superfast,ferrari_812superfast
Ferrari,California,ferrari_california
Ferrari,F12berlinetta,ferrari_f12berlinetta
Ferrari,F355,ferrari_f355
Ferrari,F430,ferrari_f430
Ferrari,Ff,ferrari_ff
Ferrari,Gtc4lusso,ferrari_gtc4lusso
Fiat,124 spider,fiat_124spider
Fiat,500,fiat_500
Fiat,500l,fiat_500l
Fiat,500x,fiat_500x
Fiat,Barchetta,fiat_barchetta
Fiat,Brava,fiat_brava
Fiat,Bravo,fiat_bravo
Fiat,Croma,fiat_croma
Fiat,Doblo,fiat_doblo
Fiat,Fiorino,fiat_fiorino
Fiat,Grande punto,fiat_grandepunto
Fiat,Idea,fiat_idea
Fiat,Multipla,fiat_multipla
Fiat,Panda,fiat_panda
Fiat,Punto,fiat_punto
Fiat,Punto evo,fiat_puntoevo
Fiat,Qubo,fiat_qubo
Fiat,Scudo,fiat_scudo
Fiat,Sedici,fiat_sedici
Fiat,Seicento,fiat_seicento
Fiat,Stilo,fiat_stilo
Fiat,Tipo,fiat_tipo
Fiat,Ulysse,fiat_ulysse
Fiat,Marea,fiat_marea
Ford,B-max,ford_b-max
Ford,C-max,ford_c-max
Ford,Cougar,ford_cougar
Ford,Ecosport,ford_ecosport
Ford,Edge,ford_edge
Ford,Explorer,ford_explorer
Ford,Fiesta,ford_fiesta
Ford,Focus,ford_focus
Ford,Focus c-max,ford_focusc-max
Ford,Fusion,ford_fusion
Ford,Galaxy,ford_galaxy
Ford,Grand c-max,ford_grandc-max
Ford,Grand tourneo connect,ford_grandtourneoconnect
Ford,Ka,ford_ka
Ford,Kuga,ford_kuga
Ford,Maverick,ford_maverick
Ford,Mondeo,ford_mondeo
Ford,Mustang,ford_mustang
Ford,Puma,ford_puma
Ford,S-max,ford_s-max
Ford,Streetka,ford_streetka
Ford,Tourneo connect,ford_tourneoconnect
Ford,Transit Courier,ford_transitcourier
Ford,Tourneo Courier,ford_tourneocourier
Honda,Accord,honda_accord
Honda,Civic,honda_civic
Honda,Cr-v,honda_cr-v
Honda,Cr-z,honda_cr-z
Honda,Fr-v,honda_fr-v
Honda,Hr-v,honda_hr-v
Honda,Insight,honda_insight
Honda,Integra,honda_integra
Honda,Jazz,honda_jazz
Honda,Legend,honda_legend
Honda,S2000,honda_s2000
Honda,Stream,honda_stream
Honda,Prelude,honda_prelude
Hummer,H2,hummer_h2
Hummer,H3,hummer_h3
Hyundai,Accent,hyundai_accent
Hyundai,Amica,hyundai_amica
Hyundai,Coupe,hyundai_coupe
Hyundai,Elantra,hyundai_elantra
Hyundai,Genesis,hyundai_genesis
Hyundai,Getz,hyundai_getz
Hyundai,Grandeur,hyundai_grandeur
Hyundai,I10,hyundai_i10
Hyundai,I20,hyundai_i20
Hyundai,I30,hyundai_i30
Hyundai,I40,hyundai_i40
Hyundai,I800,hyundai_i800
Hyundai,Ioniq,hyundai_ioniq
Hyundai,Ix20,hyundai_ix20
Hyundai,Ix35,hyundai_ix35
Hyundai,Kona,hyundai_kona
Hyundai,Matrix,hyundai_matrix
Hyundai,Santa fe,hyundai_santafe
Hyundai,Sonata,hyundai_sonata
Hyundai,Terracan,hyundai_terracan
Hyundai,Trajet,hyundai_trajet
Hyundai,Tucson,hyundai_tucson
Hyundai,Veloster,hyundai_veloster
Hyundai,Xg30,hyundai_xg30
Infiniti,Ex,infiniti_ex
Infiniti,Fx,infiniti_fx
Infiniti,G,infiniti_g
Infiniti,M,infiniti_m
Infiniti,Q30,infiniti_q30
Infiniti,Q50,infiniti_q50
Infiniti,Q60,infiniti_q60
Infiniti,Qx30,infiniti_qx30
Isuzu,Trooper,isuzu_trooper
Jaguar,E-pace,jaguar_e-pace
Jaguar,F-pace,jaguar_f-pace
Jaguar,F-type,jaguar_f-type
Jaguar,S-type,jaguar_s-type
Jaguar,X-type,jaguar_x-type
Jaguar,Xe,jaguar_xe
Jaguar,Xf,jaguar_xf
Jaguar,Xj,jaguar_xj
Jaguar,Xk,jaguar_xk
Jaguar,Xk8,jaguar_xk8
Jeep,Cherokee,jeep_cherokee
Jeep,Commander,jeep_commander
Jeep,Compass,jeep_compass
Jeep,Grand cherokee,jeep_grandcherokee
Jeep,Patriot,jeep_patriot
Jeep,Renegade,jeep_renegade
Jeep,Wrangler,jeep_wrangler
Kia,Carens,kia_carens
Kia,'cee''d',kia_'cee''d'
Kia,Cerato,kia_cerato
Kia,Magentis,kia_magentis
Kia,Niro,kia_niro
Kia,Optima,kia_optima
Kia,Picanto,kia_picanto
Kia,'pro_cee''d',kia_'pro_cee''d'
Kia,Rio,kia_rio
Kia,Sedona,kia_sedona
Kia,Sorento,kia_sorento
Kia,Soul,kia_soul
